date,GDP,Labour_prod,Broad_money,Private_debt,Unemployment,GDHI,Inflation,Policy_rate,CA,ERI
1955Q1,111480,30.79,9570,3075.399,1.6,60,5.679693,4.5,-0.6,241.5692161
1955Q2,111586,30.69,9531,3286.019,1.6,61,5.731800766,4.5,-0.4,241.5692161
1955Q3,113890,31.03,9486,3199.097,1.5,63,5.809961686,4.5,-0.3,240.7064689
1955Q4,113327,30.85,9471,2966.511,1.5,63,5.992337165,4.5,-0.9,241.5692161
1956Q1,114540,31.18,9478,3006.853,1.6,65,6.018390805,5.5,0.5,242.4319633
1956Q2,114244,31.17,9550,3022.175,1.6,66,6.122605364,5.5,1.2,242.4319633
1956Q3,114135,31.11,9627,3033.393,1.7,67,6.096551724,5.5,1.2,239.8437217
1956Q4,114641,31.18,9719,3137.298,1.7,67,6.174712644,5.5,1.6,239.8437217
1957Q1,116910,31.88,9774,3186.221,1.8,68,6.252873563,5,0.5,241.5692161
1957Q2,116887,31.84,9903,3290.186,1.8,69,6.278927203,5,1,240.7064689
1957Q3,116167,31.63,9968,3336.348,1.9,70,6.357088123,7,1.3,240.7064689
1957Q4,116362,31.74,10147,3217.126,2,71,6.461302682,7,1.9,241.5692161
1958Q1,118781,32.59,10143,3158.549,2.2,72,6.461302682,6,2.2,243.2947105
1958Q2,116082,31.68,10270,3221.952,2.5,72,6.539463602,5,0.9,243.2947105
1958Q3,118639,32.53,10336,3313.852,2.7,73,6.487356322,4.5,2,241.5692161
1958Q4,118760,32.47,10626,3610.503,2.7,73,6.591570881,4,1.2,242.4319633
1959Q1,119382,32.55,10628,3796.444,2.7,75,6.617624521,4,0.5,242.4319633
1959Q2,121349,32.83,10734,3844.206,2.7,77,6.513409962,4,1.1,242.4319633
1959Q3,123891,33.5,11027,4182.842,2.6,77,6.513409962,4,1.2,242.4319633
1959Q4,127042,34.1,11257,4382.989,2.5,78,6.591570881,4,0.1,241.5692161
1960Q1,130145,34.8,11306,4529.624,2.3,80,6.565517241,5,-0.3,241.8280403
1960Q2,129212,34.5,11336,4632.531,2.2,82,6.591570881,6,-1.3,242.0868644
1960Q3,131172,34.9,11426,4884.786,2.1,83,6.591570881,6,-1.1,242.4319633
1960Q4,131973,35,11520,4937.338,2,84,6.695785441,5,-0.7,242.518238
1961Q1,134123,35.4,11671,5024.24,2,85,6.72183908,5,0.1,241.7417655
1961Q2,134663,35.5,11886,5318.668,2,88,6.77394636,5,-0.4,241.0515678
1961Q3,133959,35.3,11882,5244.01,2.1,88,6.85210728,7,0.9,241.5692161
1961Q4,133745,35.3,11910,5200.601,2.2,88,6.956321839,6,0.3,242.6907875
1962Q1,134376,35.4,12131,5259.886,2.3,89,7.008429119,5,0.6,242.6907875
1962Q2,135625,35.6,12206,5295.72,2.5,90,7.164750958,4.5,0.8,242.6045127
1962Q3,136449,35.8,12335,5467.221,2.7,92,7.138697318,4.5,0.5,241.914315
1962Q4,135957,35.8,12504,5701.124,2.9,93,7.138697318,4.5,0.4,241.7417655
1963Q1,136658,36.3,12916,6043.371,3.3,93,7.242911877,4,1.1,241.8107853
1963Q2,142519,37.6,13232,6247.002,3.2,94,7.268965517,4,0.5,241.6123535
1963Q3,143244,37.6,13465,6427.244,3.1,97,7.242911877,4,0.4,241.5605886
1963Q4,146425,38.3,13865,6623.369,2.9,99,7.295019157,4,-0.1,241.3794117
1964Q1,147306,38.6,14085,6829.831,2.6,100,7.347126437,5,-0.8,241.3966667
1964Q2,149849,39,14392,7070.843,2.4,102,7.477394636,5,-0.6,242.81
1964Q3,150440,39,14713,7358.096,2.3,104,7.555555556,5,-1.2,242.63
1964Q4,152729,39.3,14935,7670.869,2.2,107,7.607662835,7,-1.4,242.4
1965Q1,152303,39.3,15162,7875.222,2.3,108,7.659770115,7,0.1,242.9066667
1965Q2,152465,39.4,15506,8059.555,2.3,109,7.816091954,6,-0.2,243.5666667
1965Q3,153732,39.7,15877,8146.529,2.3,112,7.868199234,6,-0.4,243.7266667
1965Q4,154684,39.8,16351,8292.854,2.3,113,7.920306513,6,-0.2,244.4266667
1966Q1,154939,39.7,16859,8499.881,2.2,118,7.972413793,6,-0.4,244.52
1966Q2,155839,39.8,17007,8645.979,2.3,115,8.102681992,6,0,243.8166667
1966Q3,156353,40,17280,8756.905,2.4,116,8.180842912,7,0,243.2366667
1966Q4,155699,40.1,17415,8781.708,2.9,118,8.259003831,7,1.6,243.5566667
1967Q1,157819,40.7,17860,8918.858,3.2,118,8.259003831,6,0.5,243.7266667
1967Q2,160034,41.3,18399,9055.997,3.4,120,8.311111111,5.5,-0.4,243.6266667
1967Q3,160738,41.5,19077,9399.756,3.5,124,8.285057471,5.5,-0.3,242.96
1967Q4,161594,41.8,19564,9715.497,3.5,124,8.389272031,8,-2.5,229.4333333
1968Q1,167469,43.4,19988,9948.391,3.5,127,8.46743295,7.5,-1,213.17
1968Q2,166744,43.5,20520,10327.97,3.5,130,8.649808429,7.5,-0.8,211.9533333
1968Q3,170062,44.3,20802,10419.04,3.5,129,8.675862069,7,-0.3,211.8833333
1968Q4,170743,44.3,21230,10697.08,3.5,132,8.780076628,7,-0.6,211.5566667
1969Q1,170363,44.3,21554,10929.18,3.5,136,8.936398467,8,0.2,212.1933333
1969Q2,171608,44.6,21551,11064.01,3.5,138,9.092720307,8,0.8,212.2433333
1969Q3,172576,44.8,21897,11336.02,3.5,138,9.092720307,8,1.3,213.2566667
1969Q4,173459,45.2,22313,11542.47,3.6,141,9.249042146,8,1,211.5766667
1970Q1,172351,44.8,22643,11864.79,3.7,144,9.405363985,7.5,2.3,212.17
1970Q2,176415,45.9,23464,12376.09,3.7,152,9.639846743,7,1,211.41
1970Q3,178164,46.3,24244,12642.27,3.8,154,9.744061303,7,0.5,209.8133333
1970Q4,179721,47.2,24984,12873.1,3.8,158,9.952490421,7,1.4,209.8866667
1971Q1,178660,47.2,25930,13182.42,3.8,159,10.21302682,7,1.3,211.79
1971Q2,181851,48.1,26712,13573.84,4.1,167,10.55172414,6,1.6,211.3866667
1971Q3,185015,49.1,27687,14272.28,4.2,170,10.76015326,5,2.1,210.7833333
1971Q4,185747,49.5,29066,15102.54,4.4,174,10.86436782,5,1.4,210.9333333
1972Q1,185942,49.3,30578,16364.2,4.5,181,11.02068966,5,0.7,211.22
1972Q2,190919,50.5,32421,17929.09,4.4,194,11.25517241,6,0.7,210.1333333
1972Q3,191438,50.7,33728,18933.29,4.3,195,11.43754789,6,-1,199.0533333
1972Q4,194433,51.3,35381,20373.13,4.2,205,11.72413793,9,-0.2,193.8533333
1973Q1,204068,53.4,37226,21699.09,3.9,213,11.88045977,8.5,-1.3,190.5333333
1973Q2,204359,53.4,39141,22760.95,3.7,220,12.29731801,7.5,-0.7,189.9366667
1973Q3,202404,52.8,41461,24153.41,3.6,227,12.50574713,11.5,-1.8,177.9
1973Q4,201544,52.6,43255,25769.42,3.4,239,13.00076628,13,-2.2,176.9
1974Q1,196051,51.2,44463,26706.05,3.6,245,13.4697318,12.5,-3.7,179.2766667
1974Q2,198880,51.9,45253,27699.69,3.6,252,14.22528736,11.75,-4.1,180.9933333
1974Q3,200169,52.3,46049,28628.17,3.7,272,14.56398467,11.5,-3.7,180.4866667
1974Q4,197263,51.4,47982,29071.38,3.7,287,15.24137931,11.5,-3.6,176.7066667
1975Q1,197360,51.6,49538,29641.51,4,313,16.04904215,10,-1.9,117.5964334
1975Q2,194133,50.9,51094,30003.28,4.3,319,17.4559387,10,-1.4,106.879177
1975Q3,193478,50.7,52879,30216.88,4.7,336,18.21149425,11,-2.6,108.570467
1975Q4,195663,51.5,53775,30695.32,5,347,18.83678161,11.25,-0.8,106.7065963
1976Q1,198806,52.3,55658,31355.13,5.3,365,19.40996169,9,0.3,103.0478872
1976Q2,198454,52.3,57402,32623.95,5.4,369,20.11340996,11.5,-1.1,96.90401722
1976Q3,200923,52.9,59486,33976.64,5.5,392,20.58237548,13,-1.5,89.1378894
1976Q4,205162,53.9,60178,35569.92,5.5,402,21.49425287,14.25,-1.1,90.01805055
1977Q1,205264,54.2,61306,36233.04,5.5,409,22.45823755,9.5,-1.1,91.59716321
1977Q2,203775,53.5,63636,37522.59,5.5,420,23.39616858,8,-1.2,90.88958267
1977Q3,205187,53.8,65956,39041.2,5.7,436,23.81302682,6,0.4,92.67579207
1977Q4,208744,54.6,69129,40654.25,5.7,462,24.1256705,7,0.5,95.93756576
1978Q1,210545,55,72808,42002.64,5.6,476,24.43831418,6.5,-0.4,90.57030853
1978Q2,213091,55.5,74692,44009.53,5.6,499,25.06360153,10,0.9,91.01038911
1978Q3,215974,56.1,76909,45579.61,5.5,521,25.45440613,10,0,91.8732922
1978Q4,217943,56.3,79611,47478.5,5.4,539,25.84521073,12.5,0.7,92.47732436
1979Q1,217088,55.8,82182,49877.21,5.4,562,26.4183908,13,-1.5,95.62692065
1979Q2,226712,58.1,85128,52480.02,5.3,584,27.25210728,14,-0.4,100.0795006
1979Q3,221756,56.9,88144,54782.15,5.4,624,28.89348659,14,0.1,98.32780733
1979Q4,224084,57.2,91141,57106.8,5.5,680,29.70114943,17,-0.7,99.48409747
1980Q1,221906,56.6,93660,59918.32,5.8,688,30.58697318,17,-0.6,105.3604675
1980Q2,217513,55.9,98007,62749.96,6.3,713,32.22835249,17,-0.8,106.3010319
1980Q3,217243,56.2,101955,65636.5,7.1,741,32.93180077,16,1.2,109.4333701
1980Q4,214936,55.8,106874,68040.14,8,765,33.53103448,14,2.2,115.6721595
1981Q1,214596,56.2,109857,70470.09,8.9,791,34.36475096,12,3.8,115.257966
1981Q2,215117,56.9,114566,72463.34,9.6,799,36.05823755,12,2,110.1668377
1981Q3,217457,57.9,118786,75744.23,9.9,814,36.70957854,14,-0.2,101.7362745
1981Q4,217707,58.4,121884,80341.46,10.2,848,37.41302682,14.375,0.7,105.9817578
1982Q1,218047,58.6,125010,84752.27,10.4,862,37.8559387,13.25,1.1,106.6634512
1982Q2,220498,59.6,128277,88661.2,10.6,888,39.15862069,12.625,-0.2,107.5263543
1982Q3,221080,60.2,132526,93712.79,10.8,892,39.39310345,10.125,0.1,107.7593381
1982Q4,222639,60.9,137206,97464.98,11.1,915,39.86206897,10,1.2,99.57901681
1983Q1,226670,62.4,141796,100745.5,11.3,927,40.148659,10.5625,1.2,94.30667892
1983Q2,228603,62.7,146296,104857.6,11.4,971,40.82605364,9.5625,-0.7,100.9165166
1983Q3,231120,63,149848,108912.3,11.5,971,41.26896552,9.5625,0.7,101.2099037
1983Q4,233119,63,155370,112879.4,11.7,989,41.73793103,9.0625,-0.3,100.8043392
1984Q1,234726,63.2,159372,117917.1,11.8,1018,41.84214559,8.5625,0.8,96.92990432
1984Q2,232679,62.2,165377,122653.6,11.9,1022,42.75402299,8.875,-1.4,96.33450118
1984Q3,234193,62.3,170005,127660,11.7,1063,42.96245211,10.5,-1.2,94.53103372
1984Q4,238845,63.1,176462,133161.7,11.6,1100,43.40536398,9.5,-0.2,90.32006663
1985Q1,240860,63.7,181230,139510.8,11.5,1113,43.84827586,12.875,-1.3,95.14369492
1985Q2,245992,65,187293,144960.5,11.4,1133,44.96858238,12.375,0.2,99.86377483
1985Q3,246225,64.9,195023,150054,11.3,1151,45.09885057,11.375,0.1,97.83595256
1985Q4,246823,64.9,202479,155921.7,11.3,1177,45.46360153,11.375,-0.2,94.21175958
1986Q1,249635,65.3,211828,162884.3,11.3,1198,45.61992337,11.375,0.2,92.33063084
1986Q2,251462,65.9,220308,169899.6,11.3,1254,46.32337165,9.875,-1,91.8474051
1986Q3,252560,66.1,227642,177173,11.4,1245,46.50574713,9.875,-1.8,82.45901946
1986Q4,257017,66.9,234322,186958,11.3,1263,46.89655172,10.875,-1.2,81.93264858
1987Q1,259310,67.2,243445,194019.1,11.1,1273,47.2091954,9.875,-0.2,84.29700305
1987Q2,263056,67.9,252853,203082.7,10.7,1315,47.80842912,8.875,-1.5,85.53095447
1987Q3,269416,68.7,262553,212609.1,10.2,1342,47.8605364,9.875,-1.7,86.58369624
1987Q4,272465,68.8,273460,222528.4,9.7,1365,48.40766284,8.375,-2.8,88.749583
1988Q1,277393,69.4,284572,234749.1,9.2,1409,48.53793103,8.375,-3.1,92.11490506
1988Q2,279053,69.4,294990,249230.2,8.7,1455,49.52796935,8.875,-3.1,89.66426028
1988Q3,283321,70,310318,263750.3,8.4,1483,49.89272031,11.875,-3.1,90.98450201
1988Q4,285762,70.1,320462,276930.8,8,1511,50.51800766,12.875,-4.7,92.76208238
1989Q1,287006,69.8,333540,291359,7.6,1549,50.98697318,12.875,-3.9,91.10530845
1989Q2,288878,69.8,347526,305157,7.2,1596,52.13333333,13.75,-4.3,86.21264791
1989Q3,289148,69.7,362447,322109.6,7.1,1669,52.47203065,13.75,-4.5,87.09280907
1989Q4,289409,69.7,378335,335989,7,1682,53.27969349,14.875,-3.5,81.44079382
1990Q1,291381,70.1,392477,351596.1,6.9,1753,53.93103448,14.875,-4,83.1669
1990Q2,292882,70.3,406620,363438.4,6.9,1772,55.62452107,14.875,-3.8,86.8075
1990Q3,289842,69.8,414829,373291.7,7.1,1827,56.40613027,14.875,-2.2,89.1414
1990Q4,288871,70.1,423720,383241.8,7.5,1883,57.4743295,13.875,-2.3,89.6021
1991Q1,288059,70.5,429281,391531.4,8,1928,57.70881226,12.375,-1.7,87.9988
1991Q2,287708,71.2,436779,396344.3,8.7,1937,60.28812261,11.375,-1,85.2819
1991Q3,287050,71.9,441977,403009.4,9.2,2021,60.75708812,10.375,-1.5,87.3621
1991Q4,287507,72.5,449042,408281.4,9.5,2041,61.51264368,10.375,-1.1,88.0506
1992Q1,287484,72.7,453545,412395.9,9.7,2078,61.74712644,10.375,-1.2,86.5663
1992Q2,287134,73.1,458741,418819,9.8,2109,62.86743295,9.875,-1.6,90.108
1992Q3,288973,73.9,463165,422808.6,9.9,2136,62.76321839,8.875,-1.8,81.6788
1992Q4,291001,74.9,464529,425405.9,10.4,2154,63.12796935,6.875,-1.5,76.9995
1993Q1,293132,75.5,468031,428757.2,10.6,2164,63.20613027,5.875,-1.2,76.888
1993Q2,294622,75.9,471709,432303.7,10.4,2222,64.4045977,5.875,-1.7,78.3351
1993Q3,296993,76.5,477496,437933.4,10.2,2247,64.50881226,5.875,-1.3,77.8787
1993Q4,299014,77,485216,441978.6,10.3,2269,64.6651341,5.375,-1.1,79.7259
1994Q1,302653,77.6,493363,444130.1,9.9,2267,64.74329502,5.125,-0.5,78.4481
1994Q2,306166,78.3,496619,448248.7,9.7,2274,65.68122605,5.125,-0.9,79.3163
1994Q3,309643,78.7,501023,455832.1,9.4,2321,65.62911877,5.625,-0.2,79.6124
1994Q4,311406,79.1,508206,465313.2,9,2322,65.81149425,6.125,-0.3,79.3419
1995Q1,312408,79.1,519454,474971.1,8.9,2383,66.35862069,6.625,0.4,77.3304
1995Q2,313535,78.9,530209,482506.8,8.7,2400,67.29655172,6.625,-1.4,75.5042
1995Q3,316615,79.3,543193,492598.6,8.6,2443,67.42681992,6.625,-1.2,76.6606
1995Q4,317507,79.1,557899,505058,8.3,2462,67.7394636,6.375,-0.5,75.6077
1996Q1,320370,79.8,569700,516731.5,8.2,2543,68.08266667,5.9375,-0.7,75.7077
1996Q2,321390,80.1,582304,527232.6,8.3,2555,68.89766667,5.6875,-0.5,78.3523
1996Q3,323585,80.4,598712,538229.8,8.1,2607,68.933,5.6875,-0.6,79.0344
1996Q4,326666,80.7,610702,549957.8,7.8,2572,69.36066667,5.9375,-0.5,87.3199
1997Q1,332963,81.8,635473,563656.9,7.3,2633,69.393,5.9375,0.1,88.0495
1997Q2,335906,82,651434,577208.9,7.2,2709,69.998,6.5,0.1,91.601
1997Q3,337554,82.1,668628,585297.9,6.8,2732,70.267,7,0.1,90.7916
1997Q4,341055,82.5,682631,599229.6,6.5,2739,70.63866667,7.25,-0.8,96.1597
1998Q1,343646,83.3,697531,612530.7,6.4,2748,70.484,7.25,-1.5,99.7268
1998Q2,346762,84.1,715407,624435.1,6.3,2781,71.288,7.5,-1.6,99.3428
1998Q3,349347,84.5,735523,637044.3,6.2,2838,71.246,7.5,0.5,97.341
1998Q4,352746,84.9,743911,645534,6.1,2835,71.644,6.25,-0.1,94.3391
1999Q1,354739,84.9,749926,657952.8,6.2,2797,71.57866667,5.5,-3.1,96.6499
1999Q2,354959,85,756691,671994.9,6,2913,72.28533333,5,-2.4,96.7917
1999Q3,361294,86.2,756145,680573.9,5.9,2917,72.12033333,5.25,-2.7,98.7788
1999Q4,366261,87.1,773448,704200.1,5.8,2978,72.46,5.5,-2.3,99.902
2000Q1,369352,87.8,790246,728336.8,5.8,3016,72.14433333,6,-2.2,101.7144
2000Q2,371610,87.8,806784,748053.8,5.5,3071,72.74,6,-2.7,96.8389
2000Q3,372653,87.7,819882,768700.3,5.3,3129,72.70566667,6,-2.5,99.7526
2000Q4,373273,87.8,834521,788319.9,5.2,3146,73.15166667,6,-2.1,97.8239
2001Q1,378202,88.6,850226,808625.2,5.1,3171,72.76566667,5.75,-1.7,97.796
2001Q2,381178,89.1,866008,826561.1,5,3191,73.842,5.25,-2.5,99.2174
2001Q3,384018,89.6,884120,839467.8,5.1,3225,73.82166667,4.75,-2.4,99.6767
2001Q4,385729,89.6,888060,855354.6,5.2,3233,73.89866667,4,-2,100.7114
2002Q1,387561,89.9,898469,871479.5,5.2,3245,73.892,4,-2.3,99.5072
2002Q2,390117,90.1,914766,891423.4,5.2,3312,74.53366667,4,-3.1,98.2408
2002Q3,393074,90.8,934854,911459.7,5.3,3300,74.58233333,4,-1.8,101.734
2002Q4,396599,91,948251,936485.8,5.1,3318,75.02533333,4,-1.8,100.0718
2003Q1,399206,91.7,958686,958184.2,5.2,3320,74.98833333,3.75,-1.1,96.0824
2003Q2,402985,92.3,981899,985367.7,4.9,3350,75.47933333,3.75,-2.3,96.9027
2003Q3,407106,93,990230,1004732,5,3397,75.609,3.5,-2.7,96.1213
2003Q4,410395,93.5,1010027,1040506,4.9,3431,76.01466667,3.75,-1.6,98.53
2004Q1,412641,93.4,1020721,1064841,4.8,3433,75.94233333,4,-2.1,102.3326
2004Q2,414222,93.8,1038811,1090876,4.8,3491,76.532,4.5,-2.4,102.1654
2004Q3,414905,93.6,1057535,1129015,4.7,3521,76.56166667,4.75,-3.5,100.6356
2004Q4,415951,93.4,1083191,1160491,4.7,3525,77.114,4.75,-1.5,99.8686
2005Q1,419894,93.9,1110567,1194762,4.7,3530,77.255,4.75,-2.1,101.3225
2005Q2,424551,95,1135949,1227049,4.8,3610,78.03,4.75,-0.9,100.6703
2005Q3,429518,95.9,1158632,1257463,4.7,3646,78.40233333,4.5,-2.8,99.4659
2005Q4,435953,97.7,1189710,1295055,5.1,3669,78.76,4.5,-2.5,97.985
