date,GDP,Labour_prod,Broad_money,Private_debt,Unemployment,GDHI,Inflation,Policy_rate,CA,ERI
1956Q1,0.123396527,-0.33431271,-1.97322776,-1.784572978,-0.0552871,0.16532149,0.245095509,0.515530115,0.83867373,0.226701712
1956Q2,-0.034729565,-0.188882766,-1.747566385,-2.554645063,-0.0552871,0.139793336,0.432954875,0.515530115,1.201153837,0.226701712
1956Q3,-0.978994676,-0.827664406,-1.497337154,-2.17633231,0.183168568,-0.205444548,0.018624308,0.515530115,1.128657815,0.137193076
1956Q4,-0.567474376,-0.430629309,-1.277230047,-0.724341861,0.183168568,-0.205444548,-0.39654368,0.515530115,1.853618028,0.092678942
1957Q1,-0.171069606,0.1441498,-1.179144495,-0.696709086,0.183168568,-0.529437025,-0.209177517,-0.208840811,0.041217496,0.137512182
1957Q2,-0.064601379,0.097434315,-1.067680614,-0.311324887,0.183168568,-0.542504583,-0.504285165,-0.208840811,-0.103774547,0.092996908
1957Q3,-0.29691863,-0.136330784,-1.097662973,-0.162741296,0.183168568,-0.555182065,-0.126243035,0.75698709,0.113713517,0.22702311
1957Q4,-0.418558746,-0.075429079,-0.93014556,-1.15086094,0.302396402,-0.276277463,-0.045408168,0.75698709,0.25870556,0.272018764
1958Q1,-0.375344415,0.135382781,-1.052323881,-1.603970377,0.421624236,-0.292683616,-0.332847455,0.515530115,1.273649858,0.271375969
1958Q2,-1.372850031,-1.199490088,-1.065811725,-1.76399709,0.779307738,-0.579434639,-0.153520118,0.032616164,-0.031278525,0.316530594
1958Q3,-0.145435654,0.437751385,-1.068559643,-1.578185615,0.898535572,-0.591041228,-0.615042613,-1.174668713,0.548689645,0.226861835
1958Q4,-0.174702132,0.171001713,-0.868541116,0.134677712,0.779307738,-0.865512537,-0.6223057,-1.416125688,-0.466254653,0.226701712
1959Q1,-0.852250145,-1.013767121,-0.856678408,1.192547956,0.54085207,-0.61328719,-0.533696033,-0.933211737,-1.191214866,0.137670037
1959Q2,0.904476797,0.821471824,-0.907929439,1.075336839,0.183168568,-0.094214737,-1.152904619,-0.450297787,0.186209539,0.137670037
1959Q3,0.856352762,0.504486348,-0.486550584,1.992715915,-0.174514935,-0.367972127,-0.977100227,-0.208840811,-0.538750674,0.226701712
1959Q4,1.966189755,1.501212771,-0.631803495,1.351821125,-0.293742769,-0.111991191,-1.065354032,0.032616164,-0.756238738,0.137512182
1960Q1,2.855970403,2.426671523,-0.546042541,1.075248168,-0.532198437,-0.146121982,-1.238387083,0.515530115,-0.538750674,0.150866766
1960Q2,1.750889632,1.533876477,-0.695946195,1.233838124,-0.651426271,-0.178479746,-0.801651666,0.998444065,-1.698687015,0.164221345
1960Q3,1.48824466,1.089977627,-1.0828345,0.739260215,-0.651426271,0.064203479,-0.801651666,0.998444065,-1.626190994,0.182027455
1960Q4,0.618649565,0.336959741,-1.332094668,0.190456971,-0.651426271,0.045535539,-0.717920081,0.515530115,-0.538750674,0.231169137
1961Q1,0.259227002,-0.110583333,-1.158661791,-0.03897479,-0.412970603,-0.22398285,-0.542135049,0.032616164,0.331201581,0.177564807
1961Q2,0.765614397,0.463743903,-0.843034601,0.477690366,-0.293742769,-0.024583066,-0.457344621,-0.450297787,0.693681688,0.12853298
1961Q3,-0.146864839,-0.39324771,-1.010411546,-0.512353423,-0.0552871,-0.266196574,-0.196769157,0.515530115,1.491137922,0.137512182
1961Q4,-0.487631975,-0.534572996,-1.128129535,-0.780776345,0.183168568,-0.502057379,-0.210287991,0.515530115,0.766177709,0.190927346
1962Q1,-0.990536872,-0.953744594,-1.020036287,-0.86599584,0.302396402,-0.512526067,-0.128427014,0.032616164,0.403697602,0.231134066
1962Q2,-0.761434943,-0.81598867,-1.262896727,-1.545950091,0.54085207,-0.967200227,0.202445812,-0.208840811,0.911169752,0.262613799
1962Q3,-0.262741421,-0.261062538,-1.045097815,-0.923572597,0.660079904,-0.542504583,-0.146239318,-1.174668713,-0.248766589,0.199897159
1962Q4,-0.352023319,-0.261062538,-0.816670018,-0.210933663,0.779307738,-0.330156761,-0.489225264,-0.691754762,0.113713517,0.133112872
1963Q1,-0.332707335,0.289560994,-0.528224014,0.488868557,1.13699124,-0.552048305,-0.330124385,-0.450297787,0.403697602,0.136670297
