nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
1,1,0,NN,100,5,5,1,10000,3162,0.1,TRUE,TRUE
2,1,0,NN,100,5,5,2,10000,3162,0.1,TRUE,TRUE
3,1,0,NN,100,5,5,3,10000,3162,0.1,TRUE,TRUE
4,1,0,NN,100,5,5,4,10000,3162,0.1,TRUE,TRUE
5,1,0,NN,100,5,5,5,10000,3162,0.1,TRUE,TRUE
6,1,0,NN,100,5,5,6,10000,3162,0.1,TRUE,TRUE
7,1,0,NN,100,5,5,7,10000,3162,0.1,TRUE,TRUE
8,1,0,NN,100,5,5,8,10000,3162,0.1,TRUE,TRUE
9,1,0,NN,100,5,5,9,10000,3162,0.1,TRUE,TRUE
10,1,0,NN,100,5,5,10,10000,3162,0.1,TRUE,TRUE
11,1,0,NN,100,5,5,11,10000,3162,0.1,TRUE,TRUE
12,1,0,NN,100,5,5,12,10000,3162,0.1,TRUE,TRUE
13,1,0,NN,100,5,5,13,10000,3162,0.1,TRUE,TRUE
14,1,0,NN,100,5,5,14,10000,3162,0.1,TRUE,TRUE
15,1,0,NN,100,5,5,15,10000,3162,0.1,TRUE,TRUE
16,1,0,NN,100,5,5,16,10000,3162,0.1,TRUE,TRUE
17,1,0,NN,100,5,5,17,10000,3162,0.1,TRUE,TRUE
18,1,0,NN,100,5,5,18,10000,3162,0.1,TRUE,TRUE
19,1,0,NN,100,5,5,19,10000,3162,0.1,TRUE,TRUE
20,1,0,NN,100,5,5,20,10000,3162,0.1,TRUE,TRUE
21,1,0,NN,100,5,5,21,10000,3162,0.1,TRUE,TRUE
22,1,0,NN,100,5,5,22,10000,3162,0.1,TRUE,TRUE
23,1,0,NN,100,5,5,23,10000,3162,0.1,TRUE,TRUE
24,1,0,NN,100,5,5,24,10000,3162,0.1,TRUE,TRUE
25,1,0,NN,100,5,5,25,10000,3162,0.1,TRUE,TRUE
26,1,0,NN,100,5,5,26,10000,3162,0.1,TRUE,TRUE
27,1,0,NN,100,5,5,27,10000,3162,0.1,TRUE,TRUE
28,1,0,NN,100,5,5,28,10000,3162,0.1,TRUE,TRUE
29,1,0,NN,100,5,5,29,10000,3162,0.1,TRUE,TRUE
30,1,0,NN,100,5,5,30,10000,3162,0.1,TRUE,TRUE
31,1,0,NN,100,5,5,31,10000,3162,0.1,TRUE,TRUE
32,1,0,NN,100,5,5,32,10000,3162,0.1,TRUE,TRUE
33,1,0,NN,100,5,5,33,10000,3162,0.1,TRUE,TRUE
34,1,0,NN,100,5,5,34,10000,3162,0.1,TRUE,TRUE
35,1,0,NN,100,5,5,35,10000,3162,0.1,TRUE,TRUE
36,1,0,NN,100,5,5,36,10000,3162,0.1,TRUE,TRUE
37,1,0,NN,100,5,5,37,10000,3162,0.1,TRUE,TRUE
38,1,0,NN,100,5,5,38,10000,3162,0.1,TRUE,TRUE
39,1,0,NN,100,5,5,39,10000,3162,0.1,TRUE,TRUE
